ablation,seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
No_GAR,456,0,53.8190,1,1,0.0000,7.39,1
No_GAR,456,1,53.1190,1,1,0.0000,4.74,2
No_GAR,456,2,69.4807,1,1,0.0000,18.11,3
No_GAR,456,3,53.8190,1,1,0.0000,4.57,4
No_GAR,456,4,63.9639,1,1,0.0000,9.75,5
No_GAR,456,5,59.9336,1,1,0.0000,10.15,6
No_GAR,456,6,53.1190,1,1,14.5065,4.16,7
No_GAR,456,7,60.7919,1,1,14.9207,12.44,8
No_GAR,456,8,53.5291,1,1,11.4955,4.42,9
No_GAR,456,9,54.0241,1,1,9.4171,5.08,10
No_GAR,456,10,53.1190,1,1,15.2387,4.29,11
No_GAR,456,11,53.4122,1,1,12.3748,4.45,12
No_GAR,456,12,62.5955,1,1,17.3997,10.26,13
No_GAR,456,13,64.0045,1,1,15.0338,11.14,14
No_GAR,456,14,64.5065,1,1,15.6890,11.09,15
No_GAR,456,15,61.5792,1,1,15.4949,8.60,16
No_GAR,456,16,64.7819,1,1,12.7995,11.01,17
No_GAR,456,17,53.1190,1,1,11.5880,4.77,18
No_GAR,456,18,59.4558,1,1,15.4058,12.05,19
No_GAR,456,19,61.8680,1,1,16.3078,9.47,20
No_GAR,456,20,62.9211,1,1,14.4241,10.31,21
No_GAR,456,21,53.8190,1,1,9.8678,4.23,22
No_GAR,456,22,62.5495,1,1,10.7076,10.25,23
No_GAR,456,23,53.5291,1,1,13.2182,4.23,24
No_GAR,456,24,63.9659,1,1,14.9897,10.31,25
No_GAR,456,25,64.7732,1,1,12.6981,11.06,26
No_GAR,456,26,67.6080,1,1,11.3782,17.57,27
No_GAR,456,27,70.1197,1,1,12.9986,17.48,28
No_GAR,456,28,60.9686,1,1,7.6363,11.07,29
No_GAR,456,29,65.1847,1,1,12.8068,16.81,30
No_GAR,456,30,68.5365,1,1,5.4566,20.75,31
No_GAR,456,31,53.8190,1,1,8.2837,4.22,32
No_GAR,456,32,64.4105,1,1,6.7916,10.32,33
No_GAR,456,33,63.9256,1,1,14.2067,10.69,34
No_GAR,456,34,54.0241,1,1,14.1428,4.50,35
No_GAR,456,35,60.8287,1,1,11.8447,9.17,36
No_GAR,456,36,64.4897,1,1,8.3935,9.00,37
No_GAR,456,37,63.2979,1,1,5.6149,10.31,38
No_GAR,456,38,61.2258,1,1,7.1824,10.27,39
No_GAR,456,39,64.8977,1,1,14.3689,9.30,40
No_GAR,456,40,54.0241,1,1,11.8048,5.24,41
No_GAR,456,41,64.6977,1,1,13.4298,19.65,42
No_GAR,456,42,64.2823,1,1,5.4156,11.03,43
No_GAR,456,43,65.4035,1,1,12.6857,9.41,44
No_GAR,456,44,53.5308,1,1,9.1524,4.34,45
No_GAR,456,45,61.9214,1,1,10.6186,9.28,46
No_GAR,456,46,63.3960,1,1,8.5811,9.48,47
No_GAR,456,47,64.3713,1,1,11.3460,10.93,48
No_GAR,456,48,61.9069,1,1,12.9906,11.00,49
No_GAR,456,49,63.5304,1,1,14.5665,10.00,50
No_GAR,456,50,53.5291,1,2,8.4177,4.43,51
No_GAR,456,51,54.5208,1,2,13.4501,4.19,52
No_GAR,456,52,-39.9806,1,2,9.8212,27.13,53
No_GAR,456,53,11.8962,1,2,12.5163,20.64,54
No_GAR,456,54,61.8495,1,2,10.6765,11.89,55
No_GAR,456,55,36.2849,1,2,11.8240,9.72,56
No_GAR,456,56,55.3857,1,2,8.8414,20.56,57
No_GAR,456,57,8.9784,1,2,10.3268,9.20,58
No_GAR,456,58,54.9530,1,2,8.4123,10.26,59
No_GAR,456,59,48.7893,1,2,9.3248,20.33,60
No_GAR,456,60,12.1530,1,2,14.6789,27.80,61
No_GAR,456,61,-44.0008,0,2,10.2741,62.52,61
No_GAR,456,62,76.9175,1,2,14.8083,17.49,62
No_GAR,456,63,53.5291,1,2,9.4191,5.26,63
No_GAR,456,64,1.8106,1,2,6.8954,12.47,64
No_GAR,456,65,54.0241,1,2,7.8422,4.20,65
No_GAR,456,66,50.3183,1,2,10.1143,12.41,66
No_GAR,456,67,3.8425,1,2,6.5365,17.53,67
No_GAR,456,68,34.2916,1,2,9.6027,8.90,68
No_GAR,456,69,18.9782,1,2,10.0332,8.53,69
No_GAR,456,70,49.4445,1,2,11.9144,10.34,70
No_GAR,456,71,70.9176,1,2,14.4924,26.46,71
No_GAR,456,72,52.8596,1,2,9.0048,11.06,72
No_GAR,456,73,60.6069,0,2,8.0554,63.56,72
No_GAR,456,74,22.3906,1,2,7.3289,27.82,73
No_GAR,456,75,-254.7657,0,3,12.3251,63.39,73
No_GAR,456,76,-211.9793,0,3,12.5375,62.37,73
No_GAR,456,77,35.9675,1,3,8.4190,10.77,74
No_GAR,456,78,50.2526,1,3,9.2524,10.31,75
No_GAR,456,79,65.3894,1,3,8.8383,26.52,76
No_GAR,456,80,-319.2112,0,3,3.9385,62.17,76
No_GAR,456,81,-150.2430,0,3,9.0133,63.11,76
No_GAR,456,82,-73.4222,1,3,7.3272,44.62,77
No_GAR,456,83,-477.1043,0,3,9.1580,63.28,77
No_GAR,456,84,-170.0455,0,3,4.5920,62.20,77
No_GAR,456,85,-406.1192,0,3,7.7667,63.17,77
No_GAR,456,86,-356.3125,0,3,7.9837,62.22,77
No_GAR,456,87,-41.3977,0,3,6.6175,63.62,77
No_GAR,456,88,43.2893,1,3,6.8552,12.52,78
No_GAR,456,89,-305.2607,0,3,8.4202,62.71,78
No_GAR,456,90,66.4230,1,3,5.6380,11.00,79
No_GAR,456,91,53.8190,1,3,7.8831,4.21,80
No_GAR,456,92,-332.8077,0,3,5.5446,63.24,80
No_GAR,456,93,48.6001,1,3,3.7078,40.45,81
No_GAR,456,94,54.5208,1,3,5.3960,4.19,82
No_GAR,456,95,-33.7667,0,3,10.6679,63.17,82
No_GAR,456,96,53.7619,1,3,2.9968,34.48,83
No_GAR,456,97,-229.6694,0,3,7.1802,63.23,83
No_GAR,456,98,49.0014,1,3,3.4945,10.13,84
No_GAR,456,99,-3.0641,0,3,8.8500,63.22,84
