ablation,seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
No_SDM,123,0,-211.6125,0,1,5.9934,67.38,0
No_SDM,123,1,-160.2841,0,1,4.5013,64.50,0
No_SDM,123,2,-210.4223,0,1,3.1370,64.98,0
No_SDM,123,3,-218.9105,0,1,1.2732,65.13,0
No_SDM,123,4,-182.4589,0,1,1.3987,64.45,0
No_SDM,123,5,-147.4501,0,1,1.2608,64.90,0
No_SDM,123,6,-151.9946,0,1,0.6341,65.20,0
No_SDM,123,7,59.8925,1,1,1.0598,2.14,1
No_SDM,123,8,-151.9946,0,1,1.0514,65.18,1
No_SDM,123,9,-151.9946,0,1,1.1998,64.24,1
No_SDM,123,10,-151.9946,0,1,1.2182,65.20,1
No_SDM,123,11,-151.9946,0,1,2.4133,65.15,1
No_SDM,123,12,-151.0056,0,1,1.8428,64.57,1
No_SDM,123,13,-144.4714,0,1,0.5319,65.32,1
No_SDM,123,14,-148.5005,0,1,0.7661,65.30,1
No_SDM,123,15,-151.9946,0,1,1.2258,64.88,1
No_SDM,123,16,-151.9946,0,1,0.7729,64.59,1
No_SDM,123,17,-151.9946,0,1,0.9456,65.35,1
No_SDM,123,18,-151.9946,0,1,0.4888,65.25,1
No_SDM,123,19,-151.9946,0,1,0.9405,64.48,1
No_SDM,123,20,-147.4691,0,1,0.8896,65.28,1
No_SDM,123,21,-151.9946,0,1,0.7549,65.27,1
No_SDM,123,22,-151.9946,0,1,1.1388,64.18,1
No_SDM,123,23,-151.9946,0,1,1.7432,65.35,1
No_SDM,123,24,-151.9946,0,1,1.8523,65.17,1
No_SDM,123,25,-151.9946,0,1,1.1513,64.39,1
No_SDM,123,26,-151.9946,0,1,0.5927,64.99,1
No_SDM,123,27,-151.9946,0,1,1.3344,65.16,1
No_SDM,123,28,-151.9946,0,1,2.2824,64.55,1
No_SDM,123,29,-151.0104,0,1,1.8598,64.78,1
No_SDM,123,30,-151.9946,0,1,0.5762,65.20,1
No_SDM,123,31,-151.0257,0,1,0.4021,64.82,1
No_SDM,123,32,-151.0082,0,1,1.0991,64.61,1
No_SDM,123,33,-151.4979,0,1,0.3989,65.31,1
No_SDM,123,34,-151.0062,0,1,1.5933,65.25,1
No_SDM,123,35,-150.5231,0,1,0.3216,64.30,1
