seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
456,0,-8.6130,0,1,0.7948,79.86,0
456,1,8.0812,0,1,0.8937,75.41,0
456,2,-19.9414,0,1,1.3207,76.90,0
456,3,74.7561,1,1,1.2346,26.90,1
456,4,37.7294,0,1,1.5621,78.71,1
456,5,-28.6466,0,1,1.5582,78.17,1
456,6,40.6889,0,1,2.4910,77.01,1
456,7,38.4954,0,1,3.0993,76.95,1
456,8,-12.7006,0,1,1.5015,76.81,1
456,9,48.8863,0,1,2.5576,75.16,1
456,10,43.6066,0,1,1.7951,76.87,1
456,11,46.9585,0,1,1.9911,75.61,1
456,12,8.4786,0,1,1.5737,76.68,1
456,13,-29.9811,0,1,1.0135,77.57,1
456,14,83.9948,1,1,1.2055,38.37,2
456,15,9.5701,0,1,1.0475,76.49,2
456,16,84.4630,1,1,0.7983,47.51,3
456,17,37.0937,0,1,1.7065,75.92,3
456,18,66.4693,1,1,0.7941,36.00,4
456,19,27.6509,0,1,1.4244,75.49,4
456,20,34.8897,0,1,1.7639,75.21,4
456,21,46.6853,0,1,1.6921,76.22,4
456,22,7.9108,0,1,2.5017,75.21,4
456,23,23.6519,0,1,1.3130,75.85,4
456,24,73.9363,1,1,1.6205,26.74,5
456,25,91.4316,1,1,0.9530,64.58,6
456,26,3.0276,0,1,1.8266,74.44,6
456,27,-8.4483,0,1,1.2747,75.54,6
456,28,70.7719,1,1,2.0798,46.03,7
456,29,18.7913,0,1,1.2966,75.32,7
456,30,64.3627,1,1,1.4670,17.25,8
456,31,15.3599,0,1,1.8586,75.36,8
456,32,24.0197,0,1,1.7307,76.04,8
456,33,32.0271,0,1,1.5287,76.38,8
456,34,-4.2069,0,1,1.9709,75.86,8
456,35,39.5116,0,1,2.7449,77.34,8
456,36,2.4403,0,1,2.0178,77.21,8
456,37,26.1119,0,1,2.3697,77.98,8
456,38,-16.9989,0,1,0.5646,77.06,8
456,39,102.8112,1,1,2.3113,65.72,9
456,40,13.2061,0,1,1.5180,76.46,9
456,41,53.3177,0,1,2.2070,78.17,9
456,42,65.8712,1,1,1.4715,27.64,10
456,43,66.9175,1,1,0.9196,17.97,11
456,44,-6.4585,0,1,1.7782,78.22,11
456,45,6.9350,0,1,2.5853,76.68,11
456,46,22.6600,0,1,2.9748,76.61,11
456,47,2.3307,0,1,2.6056,76.68,11
456,48,0.5577,0,1,1.7931,76.38,11
456,49,1.8114,0,1,1.2469,77.05,11
456,50,82.1312,1,1,1.3961,36.73,12
456,51,57.3121,0,1,1.1622,76.50,12
456,52,8.7011,0,1,1.7677,76.11,12
456,53,34.7186,0,1,1.1386,78.32,12
456,54,80.5314,0,1,2.1210,79.21,12
456,55,37.5501,0,1,2.1994,78.88,12
456,56,-8.0911,0,1,1.6404,77.83,12
456,57,90.1627,1,1,1.3147,75.06,13
456,58,64.4711,0,1,1.5809,76.85,13
456,59,67.0527,1,1,0.9916,38.27,14
456,60,18.6102,0,1,1.6848,78.55,14
456,61,5.2922,0,1,1.1516,77.20,14
456,62,66.8395,1,1,1.6554,18.18,15
456,63,-21.5262,0,1,2.2416,78.14,15
456,64,58.0110,1,1,2.2903,7.54,16
456,65,57.7296,1,1,1.6464,7.40,17
456,66,19.3942,0,1,1.6412,77.34,17
456,67,49.3132,0,1,2.2766,78.92,17
456,68,24.2597,0,1,1.9953,78.95,17
456,69,37.2788,0,1,1.1988,76.84,17
456,70,31.2162,0,1,0.9860,78.37,17
456,71,52.4823,0,1,2.7413,76.46,17
456,72,82.0627,1,1,1.4666,47.78,18
456,73,17.9971,0,1,2.1031,77.22,18
456,74,81.8374,1,1,1.6051,28.60,19
456,75,52.5123,0,1,2.0428,78.29,19
456,76,42.8160,0,1,1.1789,77.71,19
456,77,7.3366,0,1,2.1496,78.86,19
456,78,44.0372,0,1,3.2399,76.90,19
456,79,26.6569,0,1,2.2129,78.53,19
